site,inlet,month,basis_training_sites,basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr,n_splits,actual_regions,actual_regions_min,actual_regions_max,candidate
TAC,185m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.09868123469421634,5.94192301306618e-09,-6.720061833255365e-10,0.9754635167231948,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",quadtreebasisfunction,no_mask,legacy,quadtreebasisfunction,legacy,row_column,full_domain,none,,250,0.09907322454755914,5.763280717551527e-09,4.210181947782121e-11,0.9785796574836138,3,250.0,250,250,quadtree
TAC,185m,July,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.10055128196132135,6.114996176968732e-09,2.96180047220054e-11,0.9762245920201146,3,250.0,250,250,single_class/inertial/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.10282924773459286,6.229523221660227e-09,-1.63235253523567e-09,0.9756979626888599,3,250.0,250,250,single_class/axis_parallel/balanced/row_column/contrast
TAC,185m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,0.1171191339811885,7.135537212061545e-09,-1.5125541568225323e-09,0.9634330002352668,3,250.0,250,250,single_class/axis_parallel/balanced/row_column
TAC,185m,July,"TAC,MHD",region_constrained,selected_countries,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.05258779901340314,3.191270083123906e-09,-1.1874065407198844e-09,0.9956901558534809,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",region_constrained,selected_countries,weight,inertial,balanced,row_column,full_domain,none,,250,0.05832320547529354,3.541247366582498e-09,-1.2960795919367894e-09,0.994857581051828,3,250.0,250,250,weight/inertial/balanced/row_column
TAC,185m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.11031552104810018,6.235870388099638e-09,-3.5441281495818106e-09,0.9826370580695256,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
TAC,185m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.11137752684270312,6.279328238675729e-09,-3.6720070782244413e-09,0.9823952513721578,3,238.0,214,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
TAC,185m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.12474183913056902,7.203666429435612e-09,-4.137148694366539e-09,0.9807112464228799,3,250.0,250,250,weight/axis_parallel/balanced/row_column
TAC,185m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.12579184515799702,7.250169052065937e-09,-4.274536449106175e-09,0.9801966914154306,3,244.0,232,250,weight/axis_parallel/balanced/row_column/contrast
