matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,110,1.6924065090394833e-10,0.002797519385460116,4.6145668363214425e-06,0.9999224167909353
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,111,1.6280806788953362e-10,0.0026911898742859965,4.270447738906449e-06,0.9999266872386742
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,112,1.600659782616736e-10,0.0026458635957020108,4.127809374967162e-06,0.9999308150480491
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,113,1.5508998009348621e-10,0.0025636111861114877,3.875154721978124e-06,0.9999346902027711
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,114,1.5253110389698257e-10,0.002521313394614726,3.7483349584058704e-06,0.9999384385377295
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,115,1.4984552157498125e-10,0.0024769211722560944,3.617504684050762e-06,0.9999420560424135
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,116,1.4568689889902236e-10,0.0024081798415493735,3.4194996577885567e-06,0.9999454755420712
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,117,1.4159705078824868e-10,0.002340575342793514,3.2302042365943526e-06,0.9999487057463079
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,118,1.4077284394026314e-10,0.0023269513427524296,3.1927089931963938e-06,0.9999518984553011
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,119,1.3671103359856692e-10,0.0022598103035856246,3.0111244146705546e-06,0.9999549095797157
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,120,1.3172313001415368e-10,0.002177361099474956,2.7954108754637752e-06,0.9999577049905911
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,121,1.288736016668452e-10,0.0021302588769980535,2.675774426738235e-06,0.9999603807650179
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,122,1.2701953881712664e-10,0.0020996115311255016,2.5993372455731657e-06,0.9999629801022635
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,123,1.250503586328882e-10,0.0020670613151493327,2.5193670776077837e-06,0.9999654994693411
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,124,1.2212406327538509e-10,0.002018690146954978,2.4028356003328412e-06,0.9999679023049414
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,125,1.1893784340764252e-10,0.001966022470491084,2.279091103154495e-06,0.9999701813960445
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,126,1.1740746362752178e-10,0.0019407255511095002,2.220818050565452e-06,0.9999724022140951
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,127,1.1494616536358554e-10,0.0019000407063633712,2.1286807950386873e-06,0.9999745308948902
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,128,1.1114312914728098e-10,0.0018371771597987987,1.990154561365908e-06,0.9999765210494516
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,129,1.0837105820332297e-10,0.0017913552951216503,1.8921179025622617e-06,0.9999784131673541
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,130,1.0546776150227219e-10,0.0017433642908354426,1.7920949809443392e-06,0.9999802052623351
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,131,1.0151466725902695e-10,0.0016780203104207977,1.660271670558694e-06,0.9999818655340057
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,132,9.686732093186716e-11,0.0016012004602740677,1.5117366560216254e-06,0.9999833772706617
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,133,9.384846101989232e-11,0.0015512992156225618,1.4189787021798432e-06,0.9999847962493639
